Month,Num_Search_Vacation
2004-01-01,94
2004-02-01,89
2004-03-01,86
2004-04-01,79
2004-05-01,89
2004-06-01,98
2004-07-01,96
2004-08-01,79
2004-09-01,61
2004-10-01,60
2004-11-01,63
2004-12-01,67
2005-01-01,100
2005-02-01,94
2005-03-01,91
2005-04-01,80
2005-05-01,83
2005-06-01,96
2005-07-01,92
2005-08-01,76
2005-09-01,56
2005-10-01,54
2005-11-01,57
2005-12-01,60
2006-01-01,90
2006-02-01,79
2006-03-01,80
2006-04-01,74
2006-05-01,75
2006-06-01,87
2006-07-01,87
2006-08-01,69
2006-09-01,54
2006-10-01,54
2006-11-01,54
2006-12-01,59
2007-01-01,89
2007-02-01,82
2007-03-01,81
2007-04-01,73
2007-05-01,78
2007-06-01,90
2007-07-01,86
2007-08-01,70
2007-09-01,55
2007-10-01,53
2007-11-01,51
2007-12-01,55
2008-01-01,83
2008-02-01,77
2008-03-01,76
2008-04-01,70
2008-05-01,72
2008-06-01,83
2008-07-01,80
2008-08-01,63
2008-09-01,49
2008-10-01,45
2008-11-01,48
2008-12-01,52
2009-01-01,76
2009-02-01,70
2009-03-01,71
2009-04-01,62
2009-05-01,69
2009-06-01,81
2009-07-01,80
2009-08-01,65
2009-09-01,48
2009-10-01,46
2009-11-01,46
2009-12-01,57
2010-01-01,75
2010-02-01,70
2010-03-01,68
2010-04-01,61
2010-05-01,67
2010-06-01,80
2010-07-01,70
2010-08-01,55
2010-09-01,40
2010-10-01,37
2010-11-01,39
2010-12-01,46
2011-01-01,72
2011-02-01,64
2011-03-01,62
2011-04-01,56
2011-05-01,62
2011-06-01,74
2011-07-01,69
2011-08-01,56
2011-09-01,42
2011-10-01,39
2011-11-01,40
2011-12-01,50
2012-01-01,65
2012-02-01,59
2012-03-01,58
2012-04-01,53
2012-05-01,57
2012-06-01,68
2012-07-01,64
2012-08-01,49
2012-09-01,38
2012-10-01,35
2012-11-01,36
2012-12-01,50
2013-01-01,59
2013-02-01,54
2013-03-01,55
2013-04-01,50
2013-05-01,53
2013-06-01,63
2013-07-01,62
2013-08-01,48
2013-09-01,38
2013-10-01,37
2013-11-01,38
2013-12-01,50
2014-01-01,59
2014-02-01,54
2014-03-01,55
2014-04-01,49
2014-05-01,53
2014-06-01,63
2014-07-01,64
2014-08-01,50
2014-09-01,39
2014-10-01,35
2014-11-01,38
2014-12-01,52
2015-01-01,57
2015-02-01,53
2015-03-01,54
2015-04-01,49
2015-05-01,56
2015-06-01,64
2015-07-01,75
2015-08-01,68
2015-09-01,45
2015-10-01,39
2015-11-01,44
2015-12-01,55
2016-01-01,60
2016-02-01,56
2016-03-01,56
2016-04-01,52
2016-05-01,54
2016-06-01,64
2016-07-01,63
2016-08-01,52
2016-09-01,40
2016-10-01,38
2016-11-01,40
2016-12-01,55
2017-01-01,59
2017-02-01,55
2017-03-01,53
2017-04-01,50
2017-05-01,53
2017-06-01,62
2017-07-01,65
2017-08-01,49
2017-09-01,39
2017-10-01,37
2017-11-01,42
2017-12-01,56
2018-01-01,55
2018-02-01,52
2018-03-01,53
2018-04-01,56
2018-05-01,53
2018-06-01,62
2018-07-01,61
2018-08-01,50
2018-09-01,38
2018-10-01,37
2018-11-01,41
2018-12-01,56
2019-01-01,53
2019-02-01,50
2019-03-01,50
2019-04-01,46
2019-05-01,47
2019-06-01,58
2019-07-01,56
2019-08-01,45
2019-09-01,38
2019-10-01,37
